name;score;review;fname
Marli perinteinen glögi;10;Perinteinen mutta premiumia makeampi. Vahvempi maku, tuoksu ja väri. Virheetön.;marli_perinteinen.png
Marli premium perinteinen;9;Klassinen, ei yllättävä. Ei ristiriitaisia makuja, ongelmaton maku.;marli_premium.png
Kaskein juhlaglögi;9;Hieman perinteistä poikkeava, kirsikkainen maku, joka onnistuu kuitenkin säilyttämään glögimäisen aromin ja maun samalla tuoden siihen jotain uutta.;kaskein.png
Hoomanäs perinteinen jouluglögi;9;Verrattain vahva maku, jossa maistuu merkittävällä tavalla autenttiset marjat ja perinteikäs valmistustapa.;hommanas.png
Valamon glögi;8;Hieman kitkerähkö makuelämys, mutta yllättää positiivisesti pehmeällä jälkimaullaan.;valamo.png
Rainbow glögijuoma;7;Todella laimea maku jossa vetisyyteen nähden ylisuuresti makeutta. Tästä huolimatta perinteinen glögin maku tunnistettavissa.;rainbow.png
Kaskein Chicha Morada Origins;7;Erikoinen tuote, kyseessä on Etelä-Amerikkalaista "glögiä" jossa on maissia, ananasta ja limeä. Maku tuo mukavaa vaihtelua ja on yllättävän tunnistettava joskin osittain lattea ja nopeasti unohdettava.;chicha_morada.png
Poikiain Parhaat lakka;5;Lakka ei perinteisesti glögiin kuulu. Tämän tuotteen perusteella syy voisi olla, ettei se suoranaisesti tuo siihen paljoa uutta verrattuna siihen miten paljon vanhaa se vie pois. Lakan ystävät saattavat tosin tykästyä.;lakka.png
Suomen Herkkukauppa Herkkuglögi Limited edition;4;Erittäin terävä ja puolukkainen maku, perinteisen glögin pehmeys puuttuu lähes kokonaan. Makukokemus on varsin virkistävä mutta hennosta neilikasta huolimatta kaukana glögistä.;herkkukauppa.png
Poikiain Parhaat mansikka;2;Makua voisi kuvailla lämpimäksi mansikkahilloksi jonka vetisyys tuo lähinnä mieleen ylilaimennetun mehukatin. Tuoksu tosin varsin miellyttävä ja paikoin jopa jouluinen.;mansikka.png
Pentik Jouluglögi;1;Todella hyvää mustaherukkamehua, ikävä kyllä tarkoitus oli tehdä glögiä.;pentik.png
Valio vaalea glögi;0;Ei.;valio_vaalea.png
